Jahr,Zeichen,Kategorie,Titel
"2012","WD1-122/12","A","Sekundäre Traumatisierung mittelbarer NS-Opfer"
"2006","WD1-123/06","A","Algerien Geschichte - Politik - Gesellschaft"
"2007","WD1-123/07","A","Die Rolle der Kampa im Bundestagswahlkampf der SPD in den Jahren 1998 und 2002"
"2006","WD1-127/06","A","Zur Entwicklung des Wertekanons in Ost- und Westdeutschland."
"2007","WD1-128/07","A","Lobbyismus im politischen Raum unter Besonderer Berücksichtigung von Unternehmen"
"2012","WD1-129/12","A","Hintergrund der Entwicklung des Tuareg Konflikts in Mali"
"2007","WD1-131/07","A","Bürgerschaftliches Engagement und Zivilgesellschaft in der Bundesrepublik Deutschland"
"2008","WD1-131/08","A","Parteien in Spanien"
"2007","WD1-132/07","A","Akquise und Bindung von ehrenamtlichen Mitgliedern in Vereinen und NGOs"
"2007","WD1-133/07","A","Peter Harry Carstensen, MdL - Elemente einer Biographie -"
"2006","WD1-134/06","A","Aufgaben, Organisation und Ausstattung der Unterabteilungen Wissenschaftlichen Dienste und Petitionen und Eingaben in der Verwaltung des Deutschen Bundestages"
"2007","WD1-134/07","A","Zur Diskussion um eine angebliche Kooperation US-amerikanischer Firmen mit dem NS-Regime"
"2012","WD1-136/12","A","Problematik des Gedankens von Opfern der sog. Legion Condor in der Zeit des Spanischen Bürgerkrieges"
"2007","WD1-146/07","A","Die deutsche Nationalbewegung 1800- 1830"
"2007","WD1-148/07","A","Umgang des Gesetzgebers mit der Forderung der Öffentlichkeit nach Gesetzesverschärfungen aufgrund spektakulärer Straftaten"
"2009","WD1-151/09","A","Die Bedeutung von ""Aktiven Informationen"" in der Arbeit der Wissenschaftlichen Dienste des Deutschen Bundestages"
"2012","WD1-151/12","A","Verwendung des Rassebegriffs bei der Entschädigung von NS-Opfern"
"2012","WD1-152/12","A","Parteien in Israel vor den Wahlen zur Knesset 2013"
"2009","WD1-158/09","A","Eliten Deutschlands und deren Verhältnis zur Bundeswehr- Eine Untersuchung von Intellektuellen, Gewerkschaften und Kirchen"
"2011","WD1-159/11","A","Fethullah Gülen und seine Bewegung"
"2012","WD1-159/12","A","DDR-Häftlingsarbeit"
"2007","WD1-160/07","A","Die Webangebote der nationalen Parlamente in der Europäischen Union im Bereich E-Demokratie"
"2009","WD1-161/09","A","Alljährlich wiederkehrende Aktions-, Themen- und Gedenktage: Auswahl für das Jahr 2010"
"2010","WD1-162/10","A","Sowjetische Kriegsgefangene in deutschem Gewahrsam"
"2006","WD1-164/06","A","Geschichte, Struktur und Wirken der politischen Stiftungen in der Bundesrepublik Deutschland"
"2006","WD1-165/06","A","Die Zersplitterung des palästinensischen Volkes seit 1947"
"2006","WD1-170/06","A","Rechtsextreme Parteien in der bundesdeutschen Politik"
"2010","WD1-170/10","A","Wie hat die öffentliche Petition die Demokratie verändert?"
"2006","WD1-171/06","A","Fragen zu Antisemitismus, islamistischem Terrorismus [Definitionen, Ausprägungen und Zusammenhänge im Nahen Osten) Antizionismus, Islamismus, islamistischem Terrorismus (Definitionen, Ausprägungen und Zusammenhänge im Nahen Osten)"
"2007","WD1-171/07","A","Militärbischöfe in Deutschland"
"2007","WD1-172/07","A","Judenfeindschaft und Antisemitismus bei Kaiser Wilhelm II"
"2007","WD1-173/07","A","Die innenpolitische Entwicklung in Haiti seit der ersten Amtszeit von Präsident Aristide im Jahr 1991"
"2006","WD1-176/06","A","Die Rechtsnachfolge Preußens aus historischer Perspektive"
"2006","WD1-177/06","A","Das Werteverständnis von Christentum und Islam vor dem Hintergrund der Globalisierung"
"2010","WD1-177/10","A","Programme und Initiativen der Bundesregierung gegen Extremismus (Rechtsextremismus - Linksextremismus - Islamismus) zwischen 2000 und 2010"
