"WD1-056/09";"A";"Das Bundesverfassungsgericht. Kurzübersicht zu Entstehungsgeschichte und Funktion"
"WD1-056/13";"A";"Bestandsaufnahme zur Christenverfolgung weltweit"
"WD1-057/11";"A";"Der Umgang der DDR mit der NS-Vergangenheit"
"WD1-057/13";"A";"Deutsche Zivilopfer 1945-1989"
"WD1-059/07";"A";"Geschichte und Bedeutung der Wohnungsbaugesellschaften in der DDR"
"WD1-060/07";"A";"Die amerikanische Außenpolitik unter den Präsidenten Truman, Bush Sr. und Clinton vor dem Hintergrund der Atlantik-Charta"
"WD1-060/09";"A";"Menschenrechte und Verfassungswirklichkeit in der DDR"
"WD1-060/10";"A";"Politische Geschichte Thailands seit den 70er Jahren"
"WD1-060/12";"A";"Der Deutsche Bundestag zwischen 1949 und 2012. Eine Übersicht über parlamentsgeschichtliche Eckdaten"
"WD1-061/07";"A";"Der antijüdische Pogrom in Bagdad vom Juni 1941"
"WD1-063/07";"A";"Fragen zur Mitgliedschaft der im Bundestag vertretenen Parteien"
"WD1-064/07";"AI";"Der Aktuelle Begriff: Zur Geschichte der deutsch-osmanischen Beziehungen"
"WD1-064/08";"A";"Aspekte zum Tag der Bücherverbrennung innerhalb der Erinnerungskultur in Deutschland"
"WD1-065/08";"A";"Fragen zur ukrainischen Geschichte im 20. Jahrhundert"
"WD1-065/10";"AI";"Militärbischöfe in der Bundesrepublik Deutschland- Geschichte und Organisation"
"WD1-067/10";"A";"Der Schuman-Plan"
"WD1-069/11";"A";"Bürgerrechtspolitik. Ein Vergleich der Bundestagswahlprogramme von F.D.P. und Bündnis 90/Die Grünen"
"WD1-070/06";"A";"Gabriel Riesser - Anwalt der Juden und liberaler Vorkämpfer für ein freies und geeintes Deutschland"
"WD1-071/10";"A";"Zur Frage der rechtlichen Definition und zum Gebrauch der Begriffe ""deutsche Minderheit"" und ""deutsche Volksgruppe"" unter besonderer Beachtung des nationalsozialistischen Deutschen Reichs und der Bundesrepublik Deutschland"
"WD1-071/11";"A";"Fragen zum Gesetz über Auflösung und Löschung von Gesellschaften und Genossenschaften vom 09.10.1934 (LöschG)"
"WD1--071/12";"A";"Die Wahlsysteme Deutschlands und der USA"
"WD1-072/06";"A";"Der Begriff ""Mitteleuropa"" im 19. und 20. Jahrhundert"
"WD1-072/08";"A";"Die Fethullah-Gülen-Bewegung in Deutschland"
"WD1-072/11";"A";"Die Entnazifizierung"
"WD1-074/12";"A";"Parteiendemokratie in den USA: Mitglieds- und Beteiligungspraktiken sowie Nominierungsverfahren bei Demokraten und Republikanern vor dem Hintergrund des aktuellen Präsidentschaftswahlkampfs"
"WD1-075/08";"A";"Klassischer Terrorismus und ""transnationaler Terrorismus"", Gemeinsamkeiten und Unterschiede."
"WD1-075/10";"A";"Die Großen Koalitionen im Bund 1966-1969 und 2005-2009 im Vergleich"
"WD1-076/06";"A";"1. Teil: Religionsfreiheit und Apostasie im Islam"
"WD1-078/11";"A";"Geschichte der Krieger-, Kameraden- und Reservistenvereine in Deutschland"
"WD1-079/06";"A";"Die Deutschen und die Judenvernichtung"
"WD1-080/06";"A";"Aspekte der Geschichte Südamerikas (Bolivien, Peru, Chile, Ecuador). 1. Teil: Boliviens Verlust seines Zugangs zum Pazifik"
"WD1-080/07";"A";"Parteiendemokratie in Deutschland - Parteiendemokratie in Rumänien?"
"WD1-081/11";"A";"Die Gründung der CSU im Kontext des Widerstands gegen den Nationalsozialismus"
"WD1-082/09";"A";"Biologisches Geschlecht und soziale Geschlechterrolle"
"WD1-084/08";"A";"Zu ausgewählten Aspekten der Entwicklung und der Bekämpfung des Antisemitismus"
"WD1-086/12";"A";"Zur religiösen Bedeutung der Beschneidung von Jungen im Islam und Judentum"
"WD1-087/08";"A";"Abgeordnetenentschädigungen, Amtsausstattungen und Altersentschädigungen von Parlamentariern in Österreich, Großbritannien, Italien, Schweden, den Niederlanden und Frankreich"
"WD1-087/12";"A";"Religiöse Zulässigkeit alternativer Rituale der Beschneidung"
"WD1-088/08";"A";"Finanzielle Verpflichtungen der Bundesrepublik Deutschland im Zusammenhang mit dem Versailler Vertrag"
"WD1-089/08";"A";"Zum Begriff Europas in geographischer und kultureller Hinsicht"
"WD1-089/09";"A";"CSU-Wirtschaftspolitiker der letzten 60 Jahre und ihre besonderen Verdienste"
"WD1-090/08";"A";"Moderner bürgerlicher Konservatismus. Warum die Union wieder an ihre Wurzeln denken muss."
"WD1-091/10";"A";"Lückenlose Auflistung sämtlicher Minderheitenregierungen in der Bundesrepublik"
"WD1-092/07";"A";"Staaten der Golfregion"
"WD1-092/10";"A";"Die Aufhebung von Konkordaten in Deutschland"
"WD1-093/07";"A";"Fundamentalismus"
"WD1-093/09";"A";"Deutsche Minderheiten in der Zwischenkriegszeit"
"WD1-093/11";"A";"Die Verweigerung der Anerkennung als Spätaussiedler aufgrund der Ausübung von Funktionen zur Aufrechterhaltung des kommunistischen Herrschaftssystems gemäß § 5 Nr. 2b Gesetz über die Angelegenheiten der Vertriebenen und Flüchtlinge (BVFG)"
"WD1-094/06";"A";"Zur Bedeutung der Kommunikation für die Integration Europas"
"WD1-095/12";"A";"Fragen zur Situation der Sinti und Roma in Deutschland"
"WD1-096/12";"A";"Die politische Krise in Honduras 2009 - Ursachen, Geschehnisse, Auswirkungen, Darstellung in den Medien"
"WD1-097/06";"A";"Die Vereinten Nationen und die sowjetische Deutschlandpolitik 1945- 1952."
"WD1-097/08";"A";"Die Lage der Christen in der Türkei"
"WD1-098/08";"A";"Von der Hydrierwerke Pölitz AG zur Pölitzer Enklave 1937-1946"
"WD1-099/06";"A";"Der ungarische Volksaufstand 1956"
"WD1-099/08";"A";"Von der PDS zur Partei ""DIE LINKE"""
"WD1-102/07";"A";"Die politische Entwicklung in Tadschikistan unter besonderer Berücksichtigung des Bürgerkrieges im Zeitraum von 1992 bis 1997"
"WD1-104/08";"A";"Die soziale und politische Lage in Aserbaidschan vor den Wahlen 2008"
"WD1-105/08";"A";"Das Gesellschafts- und Sexualmodell Peter Fuchs' und die Agentur Fuchs GmbH: ""Die Mikrobe ist nichts, das Milieu ist alles"""
"WD1-106/07";"A";"Geschichte der Bücherverbrennungen seit der Frühen Neuzeit"
"WD1-107/07";"A";"Das parlamentarische System der Bundesrepublik Deutschland"
"WD1-107/08";"A";"Abchasien und Südossetien"
"WD1-110/07";"A";"Zur Entwicklung des deutsch-israelischen Verhältnisses"
"WD1-111/10";"A";"Die ""Trostfrauen"" und die Aufarbeitung ihres Schicksals"
"WD1-112/08";"A";"Die Bedeutung des Föderalismus für das politische Leben Deutschlands"
"WD1-113/07";"A";"Ablauf und Symbolik von Bücherverbrennungen in der Frühen Neuzeit"
"WD1-114/06";"A";"Integration und Islam in Frankreich"
"WD1-114/09";"A";"Der SPD-Gewerkschaftsrat - Entstehen, Aufgabe und Entwicklung"
"WD1-117/09";"A";"Aussagen in den Wahlprogrammen der Bundestagsparteien zu den Themen Familie, Frauen, Umwelt/Klima, Steuern und Finanzkrise (Synopse"
"WD1-118/08";"A";"Militärzeremonien im öffentlichen Raum in der deutschen Geschichte"
"WD1-119/06";"A";"Berthold Brecht und sein Verhältnis zur Politik"
"WD1-121/12";"A";"Elysée-Vertrag. Debatten und Abstimmung im Deutschen Bundestag und der Assemblée nationale"
"WD1-122/07";"A";"Rekrutierung von Abgeordneten und Politikern in Spitzenpositionen"
"WD1-122/12";"A";"Sekundäre Traumatisierung mittelbarer NS-Opfer"
"WD1-123/06";"A";"Algerien Geschichte - Politik - Gesellschaft"
"WD1-123/07";"A";"Die Rolle der Kampa im Bundestagswahlkampf der SPD in den Jahren 1998 und 2002"
"WD1-127/06";"A";"Zur Entwicklung des Wertekanons in Ost- und Westdeutschland."
"WD1-128/07";"A";"Lobbyismus im politischen Raum unter Besonderer Berücksichtigung von Unternehmen"
"WD1-129/12";"A";"Hintergrund der Entwicklung des Tuareg Konflikts in Mali"
"WD1-131/07";"A";"Bürgerschaftliches Engagement und Zivilgesellschaft in der Bundesrepublik Deutschland"
"WD1-131/08";"A";"Parteien in Spanien"
"WD1-132/07";"A";"Akquise und Bindung von ehrenamtlichen Mitgliedern in Vereinen und NGOs"
"WD1-133/07";"A";"Peter Harry Carstensen, MdL - Elemente einer Biographie -"
"WD1-134/06";"A";"Aufgaben, Organisation und Ausstattung der Unterabteilungen Wissenschaftlichen Dienste und Petitionen und Eingaben in der Verwaltung des Deutschen Bundestages"
"WD1-134/07";"A";"Zur Diskussion um eine angebliche Kooperation US-amerikanischer Firmen mit dem NS-Regime"
"WD1-136/12";"A";"Problematik des Gedankens von Opfern der sog. Legion Condor in der Zeit des Spanischen Bürgerkrieges"
"WD1-146/07";"A";"Die deutsche Nationalbewegung 1800- 1830"
